category,subcategory_lvl1,subcategory_lvl2,page_url,product_id,image_url,brand,price,title,description,gender
Ayakkabı,Ayakkabı aksesuar,Fl-1804-42 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-42-renksiz-unisex-taban-100295110-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295110_1.JPG,Flo,24.99,FL-1804-42 Renksiz Unisex Taban,,Unisex
Ayakkabı,Ayakkabı aksesuar,Fl-1804-41 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-41-renksiz-unisex-taban-100295109-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295109_1.JPG,Flo,24.99,FL-1804-41 Renksiz Unisex Taban,,Unisex
Ayakkabı,Oxford ayakkabı,Günlük ayakkabı,https://www.flo.com.tr/mercedes-diba-gri-erkek-ayakkabi-100373074,100373074,https://floimages.mncdn.com/media/catalog/product/1/7/4/100373074.jpg,Mercedes,189.99,DIBA Gri Erkek Ayakkabı,,Erkek
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/lumberjack-budva-gri-erkek-sneaker-ayakkabi-100497785,100497785,https://floimages.mncdn.com/media/catalog/product/19-12/17/100497785_1-1576578312.jpg,Lumberjack,242.84,BUDVA Gri Erkek Sneaker Ayakkabı,,Erkek
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/butigo-19s-101-beyaz-kadin-sneaker-ayakkabi-100372322,100372322,https://floimages.mncdn.com/media/catalog/product//1/0/100372322_1.jpg,Butigo,119.99,19S-101 Beyaz Kadın Sneaker Ayakkabı,İç Materyal: Suni Deri,Kadın
Ayakkabı,Sneaker,Klasik sneaker,https://www.flo.com.tr/art-bella-cs18018-siyah-kadin-sneaker-ayakkabi-100317312,100317312,https://floimages.mncdn.com/media/catalog/product/1/0/100317312_1.jpg,Art Bella,35.99,CS18018 Siyah Kadın Sneaker Ayakkabı,,Kadın
Ayakkabı,Ayakkabı aksesuar,Fl-1804-38 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-38-renksiz-unisex-taban-100295106-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295106_1.JPG,Flo,24.99,FL-1804-38 Renksiz Unisex Taban,,Unisex
Ayakkabı,Ayakkabı aksesuar,Fl-1804-40 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-40-renksiz-unisex-taban-100295108-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295108_1.JPG,Flo,24.99,FL-1804-40 Renksiz Unisex Taban,,Unisex
Ayakkabı,Ayakkabı aksesuar,Fl-1804-37 renksiz unisex taban,https://www.flo.com.tr/flo-fl-1804-37-renksiz-unisex-taban-100295105-95z,95z,https://floimages.mncdn.com/media/catalog/product/20-04/13/100295105_1.JPG,Flo,24.99,FL-1804-37 Renksiz Unisex Taban,,Unisex
Ayakkabı,Oxford ayakkabı,505-y siyah erkek ayakkabı,https://www.flo.com.tr/jj-stiller-505-y-siyah-erkek-ayakkabi-10031699,10031699,https://floimages.mncdn.com/media/catalog/product/1/0/100316990_1.jpg,JJ-Stiller,129.99,505-Y Siyah Erkek Ayakkabı,İç Materyal: Suni Deri,Erkek
